Cat:Orden-Amarillo
PUBLIC PEACE VIOLATION:715
PROSTITUTION:377
OBSCENITY:16
PUBLIC INDECENCY:4
Cat:Robo-Rojo
ROBBERY:4363
BURGLARY:5096
MOTOR VEHICLE THEFT:4364
THEFT:22976
ASSAULT:7602
Cat:Persona-Morado
HUMAN TRAFFICKING:2
KIDNAPPING:88
SEX OFFENSE:313
HOMICIDE:265
OFFENSE INVOLVING CHILDREN:930
BATTERY:20820
Cat:Droga-Azul
OTHER NARCOTIC VIOLATION:1
NARCOTICS:5858
