KIDNAPPING:88
CONCEALED CARRY LICENSE VIOLATION:12
PUBLIC PEACE VIOLATION:715
INTERFERENCE WITH PUBLIC OFFICER:389
PROSTITUTION:377
LIQUOR LAW VIOLATION:112
ROBBERY:4363
BURGLARY:5096
MOTOR VEHICLE THEFT:4364
HUMAN TRAFFICKING:2
OTHER NARCOTIC VIOLATION:1
HOMICIDE:265
OBSCENITY:16
WEAPONS VIOLATION:1440
OTHER OFFENSE:7044
CRIMINAL DAMAGE:12520
THEFT:22976
OFFENSE INVOLVING CHILDREN:930
GAMBLING:71
PUBLIC INDECENCY:4
NON-CRIMINAL (SUBJECT SPECIFIED):1
ARSON:215
NARCOTICS:5858
SEX OFFENSE:313
INTIMIDATION:42
DECEPTIVE PRACTICE:5945
BATTERY:20820
NON - CRIMINAL:5
CRIMINAL TRESPASS:2623
STALKING:43
ASSAULT:7602
CRIM SEXUAL ASSAULT:516
NON-CRIMINAL:15
