KIDNAPPING:0
CONCEALED CARRY LICENSE VIOLATION:0
PUBLIC PEACE VIOLATION:0
INTERFERENCE WITH PUBLIC OFFICER:0
PROSTITUTION:0
LIQUOR LAW VIOLATION:0
ROBBERY:1
BURGLARY:1
MOTOR VEHICLE THEFT:1
HUMAN TRAFFICKING:0
OTHER NARCOTIC VIOLATION:0
HOMICIDE:0
OBSCENITY:0
WEAPONS VIOLATION:0
OTHER OFFENSE:2
CRIMINAL DAMAGE:2
THEFT:17
OFFENSE INVOLVING CHILDREN:0
GAMBLING:0
PUBLIC INDECENCY:0
NON-CRIMINAL (SUBJECT SPECIFIED):0
ARSON:0
NARCOTICS:0
SEX OFFENSE:0
INTIMIDATION:0
DECEPTIVE PRACTICE:3
BATTERY:3
NON - CRIMINAL:0
CRIMINAL TRESPASS:0
STALKING:0
ASSAULT:3
CRIM SEXUAL ASSAULT:0
NON-CRIMINAL:0
