41.89000907393167,-87.63066187122017,Firecakes
41.90854285031249,-87.6745757759392,The Wormhole Coffee
41.88448905085375,-87.6256974629695,Intelligentsia Coffee
41.92463824130048,-87.70000105251376,Gaslight Coffee Roasters
41.884131835138994,-87.6518440246582,La Colombe Torrefaction
41.98440371800061,-87.6689564237973,The Coffee Studio
41.938259591128016,-87.64435216683545,Intelligentsia Coffee
41.744208784911905,-87.60476390471273,Dat Donut
41.79431915283203,-87.61873626708984,Currency Exchange Café
41.89507728164803,-87.6869002894165,Dark Matter Coffee
41.911824085035455,-87.6773779701105,DAVIDsTEA
41.88939680837851,-87.63549562622177,The Doughnut Vault
41.85782842,-87.662693,Cafe Jumping Bean
41.88940342086328,-87.63409852981567,Bow Truss Coffee
41.93983464033624,-87.65736401997229,Osmium Coffee Bar
41.883641,-87.648644,Sawada Coffee
41.914277,-87.683387,Ipsento 606
41.94748800870351,-87.66408768432652,Café Tola
41.8839693769242,-87.63964463305578,The Doughnut Vault
41.88671959376804,-87.64792224490073,Glazed and Infused
41.92978537935222,-87.70852270361922,Intelligentsia Coffee Bar
41.89564111568397,-87.69016861409735,Dark Matter Coffee (Star Lounge Coffee Bar)
41.9181977673348,-87.65210151672363,Glazed & Infused
41.965519154895574,-87.6538669372808,Everybody's Coffee
41.968967,-87.729033,Starbucks
41.941988,-87.644607,Stan's Donuts & Coffee
41.899351534524975,-87.6971425010967,C.C. Ferns
41.8908574936858,-87.65834662304586,Sip Coffee House
41.89947867228679,-87.94123748510462,Brewpoint Coffee
41.783916,-87.613076,Greenline Coffee
41.914950013160706,-88.31205904483795,Town House Cafe
41.965519154895574,-87.6538669372808,Everybody's Coffee
41.968967,-87.729033,Starbucks
41.941988,-87.644607,Stan's Donuts & Coffee
41.899351534524975,-87.6971425010967,C.C. Ferns
41.8908574936858,-87.65834662304586,Sip Coffee House
42.045616241703705,-87.68187941583572,Other Brother Coffeehouse
41.89947867228679,-87.94123748510462,Brewpoint Coffee
41.783916,-87.613076,Greenline Coffee
41.86747075407863,-87.62628550841046,Stan's Donuts & Coffee
41.8942220114465,-87.62183641937007,Do-Rite Donuts & Chicken
41.88124209324229,-87.62625658831975,Goddess and The Baker
41.93591891217894,-87.64440516598769,Bow Truss Coffee Roasters
41.561871347369575,-87.50936508178711,Munster Donut
41.93260256381025,-87.64584093778781,Next Door
41.936461329460144,-87.653802,Panes Bread Cafe
41.931959527610665,-87.7234536409378,Brew Brew Coffee Lounge
41.943471999109896,-87.65921360817397,Two Hearted Queen
42.00790019532299,-87.6678921839289,The Common Cup
41.90337059093834,-87.66774771506223,Intelligentsia Coffee Wicker Park Coffeebar
41.773646580007984,-87.94925418312839,Cafe La Fortuna
41.7687628397371,-87.64571085294173,Kusanya Cafe
41.858128121038256,-87.65196414191809,Cafe La Catrina
41.911802964476955,-87.67755611064548,Buzz: Killer Espresso
41.93494,-87.66189,Heritage Bicycles
42.03799366950989,-88.360886,Country Donuts
41.87691140024033,-87.62878220726024,Dollop Coffee & Tea
41.910187118260325,-87.68786300149328,Cup & Spoon
41.88248576942404,-87.6245261695924,Peet's Coffee & Tea
41.94388986877751,-87.67168192023647,Loba Pastry + Coffee
41.97009091162748,-87.67920267394673,Groundswell Coffee Roasters
41.8782665259228,-87.6267626872655,Asado Coffee Roasters
41.903284621367895,-87.67570245205536,Milk & Honey Café
42.03737303846606,-88.28265666961669,Blue Box Cafe
41.94598692461768,-87.6638950429874,DAVIDsTEA
41.879464657923606,-87.63279206357196,Bow Truss Coffee Roasters
41.76499055290921,-88.18298117621534,Six
41.684711654249,-88.35177305317299,The Village Grind
42.0727223081873,-87.7986453325188,Glenview Grind
41.9761300945845,-87.66852784150055,La Colombe Coffee Roasters
41.92985761066105,-87.70730542273913,Same Day Cafe
41.52345310785859,-88.10211761996864,Home Cut Donuts
41.975067197131445,-87.90337923339662,Intelligentsia Coffee
41.838522,-87.60677,Pier 31
41.89252456345981,-87.61870299826914,Dollop Coffee & Tea
41.90808142983526,-87.63460409472344,Doodle's
41.90990657334091,-87.67765721712559,La Colombe Torrefaction
41.93179000410547,-87.69215163625799,Arbor
41.8866750296526,-87.65602494836361,Jupiter Outpost
41.957881949924634,-87.64965659498597,Dollop Coffee & Tea Co.
41.90889562558888,-87.81237625682868,Massa Cafe Italiano
41.90494121310436,-87.63447397786051,Intelligentsia Coffee
42.004352885564636,-88.0805031284975,County Donuts
42.033883,-87.677862,The Brothers K Coffeehouse
41.9616166484448,-87.67075738848243,Eats and Sweets
41.86645215350681,-87.68721798665383,Chicago Hope Cafe
41.795372,-87.588409,Bonjour Cafe
41.97810368333333,-87.6582307,Kitchen Sink Café
42.04809729608904,-88.08448717308605,Coffee Haus
41.89409120430234,-87.62047220241867,Stan’s Donuts
41.88441568651257,-87.62990519528252,Do-Rite Donuts & Coffee
41.91004208456224,-87.67745500394089,Stan's Donuts & Coffee
41.83620251400525,-87.64583130188599,Jackalope Coffee & Tea
41.903265,-87.672027,Caffe Streets
41.78043311674163,-87.59637236573582,Robust Coffee Lounge
41.9276912777251,-87.70698786584065,Lula Café
41.91096,-88.31324,Arcedium Coffeehouse Inc
41.918545246415405,-87.6873768344406,Ipsento Coffee House
41.89620291925996,-87.65536984864974,Big Shoulders Coffee
41.78996697110364,-87.59611673725891,Plein Air Cafe & Eatery
41.87802086352005,-87.62970758994888,Intelligentsia Coffee
41.95309361858554,-87.76465052973282,Portage Grounds
41.93293676524115,-87.64500260671988,Stan's Donuts & Coffee
41.90906607183862,-87.63854115932133,Eva's Cafe
